74DA38F208A0	宜蘭縣縣立新南國小	[263]宜蘭縣壯圍鄉新南村120之1號
74DA38F20894	宜蘭縣縣立五結國小	[268]宜蘭縣五結鄉國民路1號
74DA38F20892	宜蘭縣縣立學進國小	[268]宜蘭縣五結鄉中正路三段151號
74DA38F20886	宜蘭縣縣立中興國小	[268]宜蘭縣五結鄉四結村中興路三段67號
74DA38F20884	宜蘭縣縣立利澤國小	[268]宜蘭縣五結鄉成興村利寶路101號
74DA38F2088A	宜蘭縣縣立孝威國小	[268]宜蘭縣五結鄉孝威路328號
74DA38F20888	宜蘭縣縣立冬山國小	[269]宜蘭縣冬山鄉安平村安中路35號
74DA38F2088C	宜蘭縣縣立東興國小	[269]宜蘭縣冬山鄉東城村東城路316號
74DA38F20890	宜蘭縣縣立順安國小	[269]宜蘭縣冬山鄉順安村永興路二段17號
74DA38F208B8	宜蘭縣縣立武淵國小	[269]宜蘭縣冬山鄉武淵村富農路二段350號
74DA38F208A2	宜蘭縣縣立廣興國小	[269]宜蘭縣冬山鄉廣興村梅花路303號
74DA38F20876	宜蘭縣縣立大進國小	[269]宜蘭縣冬山鄉大進村大進七路51號
74DA38F208B4	宜蘭縣縣立柯林國小	[269]宜蘭縣冬山鄉柯林村光華路158號
74DA38F208BA	宜蘭縣縣立三星國小	[266]宜蘭縣三星鄉三星路五段86號
74DA38F208A4	宜蘭縣縣立大洲國小	[266]宜蘭縣三星鄉大洲村上將路二段500號
74DA38F20E24	宜蘭縣縣立憲明國小	[266]宜蘭縣三星鄉天山村福山街119號
74DA38F20E4A	宜蘭縣縣立萬富國小	[266]宜蘭縣三星鄉萬富村健富路一段309號
74DA38F20E48	宜蘭縣縣立大隱國小	[266]宜蘭縣三星鄉大隱中路347號
74DA38F20E5A	宜蘭縣縣立四季國小	[267]宜蘭縣大同鄉四季村和勳巷1號
74DA38F20E58	宜蘭縣縣立南山國小	[267]宜蘭縣大同鄉南山村四鄰埤南巷31之3號
74DA38F20E54	宜蘭縣縣立大同國小	[267]宜蘭縣大同鄉崙埤村10之9號
74DA38F20E52	宜蘭縣縣立寒溪國小	[267]宜蘭縣大同鄉寒溪村寒溪巷16號
74DA38F20E56	宜蘭縣縣立南澳國小	[272]宜蘭縣南澳鄉南澳村中正路15號
74DA38F20E50	宜蘭縣縣立碧候國小	[272]宜蘭縣南澳鄉碧候村自覺巷38號
74DA38F20E4E	宜蘭縣縣立武塔國小	[272]宜蘭縣南澳鄉武塔村新溪路1號
74DA38F20F02	宜蘭縣縣立澳花國小	[272]宜蘭縣南澳鄉澳花村中央路19號
74DA38F20EC6	宜蘭縣縣立東澳國小	[272]宜蘭縣南澳鄉東岳村蘇花路三段209號
74DA38F20F00	宜蘭縣縣立金岳國小	[272]宜蘭縣南澳鄉金岳村 (路) 二號
74DA38F20EC2	宜蘭縣縣立金洋國小	[272]宜蘭縣南澳鄉金洋村11號
74DA38F20EC4	宜蘭縣縣立人文國(中)小	[261]宜蘭縣頭城鎮拔雅里文雅路150號
74DA38F20EBE	宜蘭縣縣立清溝國小	[269]宜蘭縣冬山鄉清溝村永清路369號
74DA38F20EC0	宜蘭縣縣立慈心華德福實中附設國小	[269]宜蘭縣冬山鄉照安路257號
74DA38F20EBC	宜蘭縣龍潭國小匏崙分校	[262]宜蘭縣礁溪鄉匏崙路95-2號
74DA38F20EBA	宜蘭縣內城國中小化育分校	[264]宜蘭縣員山鄉員山路三段256號
74DA38F20EB6	宜蘭縣順安國小中山分校	[269]宜蘭縣冬山鄉中山村舊寮路55號
74DA38F20854	宜蘭縣四季國小英士分校	[267]宜蘭縣大同鄉梵梵巷100號
74DA38F208B2	宜蘭縣四季國小茂安分班	[267]宜蘭縣大同鄉茂安巷4號
74DA38F2087E	宜蘭縣大同國小松羅分校	[267]宜蘭縣大同鄉松羅南巷88號
74DA38F20882	宜蘭縣大同國小樂水分校	[267]宜蘭縣大同鄉樂水村碼崙巷53號
